Google.Date,Open,High,Low,Close,Volume
Google,8-Aug-14,563.56,570.25,560.35,568.77,1492491
Google,7-Aug-14,568.00,569.89,561.10,563.36,1108900
Google,6-Aug-14,561.78,570.70,560.00,566.37,1330877
Google,5-Aug-14,570.05,571.98,562.61,565.07,1556685
Google,4-Aug-14,569.04,575.35,564.10,573.15,1427169
Google,1-Aug-14,570.40,575.96,562.85,566.07,1950171
Google,31-Jul-14,580.60,583.65,570.00,571.60,2099516
Google,30-Jul-14,586.55,589.50,584.00,587.42,1013932
Google,29-Jul-14,588.75,589.70,583.52,585.61,1346647
Google,28-Jul-14,588.07,592.50,584.75,590.60,984161
Google,25-Jul-14,590.40,591.86,587.03,589.02,932724
Google,24-Jul-14,596.45,599.50,591.77,593.35,1033341
Google,23-Jul-14,593.23,597.85,592.50,595.98,1229846
Google,22-Jul-14,590.72,599.65,590.60,594.74,1694787
Google,21-Jul-14,591.75,594.40,585.23,589.47,2060334
Google,18-Jul-14,593.00,596.80,582.00,595.08,4006389
Google,17-Jul-14,579.53,580.99,568.61,573.73,3015475
Google,16-Jul-14,588.00,588.40,582.20,582.66,1394560
Google,15-Jul-14,585.74,585.80,576.56,584.78,1618815
Google,14-Jul-14,582.60,585.21,578.03,584.87,1852290
Google,11-Jul-14,571.91,580.85,571.42,579.18,1617569
Google,10-Jul-14,565.91,576.59,565.01,571.10,1353317
Google,9-Jul-14,571.58,576.72,569.38,576.08,1113907
Google,8-Jul-14,577.66,579.53,566.14,571.09,1908647
Google,7-Jul-14,583.76,586.43,579.59,582.25,1061833
Google,3-Jul-14,583.35,585.01,580.92,584.73,712210
Google,2-Jul-14,583.35,585.44,580.39,582.34,1054936
Google,1-Jul-14,578.32,584.40,576.65,582.67,1446309
Google,30-Jun-14,578.66,579.57,574.75,575.28,1310909
Google,27-Jun-14,577.18,579.87,573.80,577.24,2231174
Google,26-Jun-14,581.00,582.45,571.85,576.00,1737210
Google,25-Jun-14,565.26,579.96,565.22,578.65,1964447
Google,24-Jun-14,565.19,572.65,561.01,564.62,2201789
Google,23-Jun-14,555.15,565.00,554.25,564.95,1534659
Google,20-Jun-14,556.85,557.58,550.39,556.36,4496962
Google,19-Jun-14,554.24,555.00,548.51,554.90,2451341
Google,18-Jun-14,544.86,553.56,544.00,553.37,1737343
Google,17-Jun-14,544.20,545.32,539.33,543.01,1445878
Google,16-Jun-14,549.26,549.62,541.52,544.28,1704027
Google,13-Jun-14,552.26,552.30,545.56,551.76,1217176
Google,12-Jun-14,557.30,557.99,548.46,551.35,1457104
Google,11-Jun-14,558.00,559.88,555.02,558.84,1097380
Google,10-Jun-14,560.51,563.60,557.90,560.55,1349444
Google,9-Jun-14,557.15,562.90,556.04,562.12,1463676
Google,6-Jun-14,558.06,558.06,548.93,556.33,1732592
Google,5-Jun-14,546.40,554.95,544.45,553.90,1684886
Google,4-Jun-14,541.50,548.61,538.75,544.66,1812084
Google,3-Jun-14,550.99,552.34,542.55,544.94,1861921
Google,2-Jun-14,560.70,560.90,545.73,553.93,1434989
Google,30-May-14,560.80,561.35,555.91,559.89,1766794
Google,29-May-14,563.35,564.00,558.71,560.08,1350657
Google,28-May-14,564.57,567.84,561.00,561.68,1647717
Google,27-May-14,556.00,566.00,554.35,565.95,2100298
Google,23-May-14,547.26,553.64,543.70,552.70,1929632
Google,22-May-14,541.13,547.60,540.78,545.06,1611837
Google,21-May-14,532.90,539.18,531.91,538.94,1193389
Google,20-May-14,529.74,536.23,526.30,529.77,1780113
Google,19-May-14,519.70,529.78,517.58,528.86,1276362
Google,16-May-14,521.39,521.80,515.44,520.63,1481688
